"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T19:31:05.436458091Z[Etc/UTC]","0.0","0.85"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T19:31:06.36503621Z[Etc/UTC]","0.0","0.67"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:07.179984433Z[Etc/UTC]","0.0","1.21"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T19:31:08.491585403Z[Etc/UTC]","0.0","11.62"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T19:31:20.269356275Z[Etc/UTC]","0.0","1.28"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:21.653862073Z[Etc/UTC]","0.0","1.18"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T19:31:22.99262062Z[Etc/UTC]","0.0","1.42"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T19:31:24.5209423Z[Etc/UTC]","0.0","1.43"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T19:31:26.052956289Z[Etc/UTC]","0.0","1.59"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T19:31:27.84895683Z[Etc/UTC]","0.0","1.14"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T19:31:29.093435408Z[Etc/UTC]","0.0","1.16"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T19:31:30.429605426Z[Etc/UTC]","0.0","2.28"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T19:31:32.97552042Z[Etc/UTC]","0.0","1.02"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T19:31:34.103538502Z[Etc/UTC]","0.0","1.33"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T19:29:57.741518819Z[Etc/UTC]","0.0","15.58"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T19:30:13.583708684Z[Etc/UTC]","0.0","3.59"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T19:30:17.304260396Z[Etc/UTC]","0.0","1.4"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T19:30:18.825567161Z[Etc/UTC]","0.0","3.38"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T19:30:22.329594946Z[Etc/UTC]","0.0","1.47"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T19:30:23.931150221Z[Etc/UTC]","0.0","3.89"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T19:30:39.143952671Z[Etc/UTC]","0.0","1.76"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T19:30:41.0171184Z[Etc/UTC]","0.0","1.41"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T19:30:46.537310131Z[Etc/UTC]","0.0","14.09"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T19:30:46.675542276Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T19:30:48.024748751Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T19:30:49.320455838Z[Etc/UTC]","0.0","1.14"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T19:30:50.563548441Z[Etc/UTC]","0.0","1.21"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T19:30:51.941987328Z[Etc/UTC]","0.0","1.23"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T19:30:53.323155721Z[Etc/UTC]","0.0","1.52"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T19:30:54.947959318Z[Etc/UTC]","0.0","1.37"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T19:30:56.426430132Z[Etc/UTC]","0.0","1.4"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T19:30:58.009302204Z[Etc/UTC]","0.0","1.1"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T19:30:59.21215132Z[Etc/UTC]","0.0","1.08"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T19:31:00.434927797Z[Etc/UTC]","0.0","1.36"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T19:31:01.900971063Z[Etc/UTC]","0.0","1.0"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T19:30:35.809251386Z[Etc/UTC]","0.0","1.73"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T19:30:37.665295328Z[Etc/UTC]","0.0","1.31"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T19:31:03.077880697Z[Etc/UTC]","0.0","0.88"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T19:31:04.034880466Z[Etc/UTC]","0.0","1.24"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2022-03-17T19:30:27.933489956Z[Etc/UTC]","0.0","0.86"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-03-17T19:30:28.90331193Z[Etc/UTC]","0.0","1.29"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-03-17T19:30:30.304777628Z[Etc/UTC]","0.0","2.5"
