"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T19:25:52.229075606Z[Etc/UTC]","0.0","1.17"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T19:25:53.505727204Z[Etc/UTC]","0.0","0.72"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:25:54.376060492Z[Etc/UTC]","0.0","1.31"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T19:25:55.794594334Z[Etc/UTC]","0.0","11.35"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T19:26:07.322601534Z[Etc/UTC]","0.0","1.42"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:26:08.846561765Z[Etc/UTC]","0.0","1.33"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T19:26:10.355036683Z[Etc/UTC]","0.0","1.59"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T19:26:12.052946004Z[Etc/UTC]","0.0","1.56"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T19:26:13.716026369Z[Etc/UTC]","0.0","1.74"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T19:26:15.704313865Z[Etc/UTC]","0.0","1.19"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T19:26:17.009504026Z[Etc/UTC]","0.0","1.22"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T19:26:18.412272892Z[Etc/UTC]","0.0","2.58"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T19:26:21.286762503Z[Etc/UTC]","0.0","1.11"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T19:26:22.497175955Z[Etc/UTC]","0.0","1.47"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T19:25:49.621259977Z[Etc/UTC]","0.0","0.91"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T19:25:50.638474269Z[Etc/UTC]","0.0","1.43"
