"Story","Title","Result","Date","Stability","Duration (s)"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T20:20:34.665391005Z[Etc/UTC]","0.0","1.38"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T20:20:36.14748349Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T20:20:37.594481735Z[Etc/UTC]","0.0","1.5"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T20:20:39.311589045Z[Etc/UTC]","0.0","1.05"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T20:20:40.467183399Z[Etc/UTC]","0.0","1.04"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T20:20:41.638707191Z[Etc/UTC]","0.0","2.19"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T20:20:45.198882547Z[Etc/UTC]","0.0","1.25"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T20:19:18.808000964Z[Etc/UTC]","0.0","7.56"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T20:19:26.579601477Z[Etc/UTC]","0.0","3.37"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T20:19:30.062621651Z[Etc/UTC]","0.0","1.21"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T20:19:31.374706865Z[Etc/UTC]","0.0","3.34"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T20:19:34.819354999Z[Etc/UTC]","0.0","1.37"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T20:19:36.305929348Z[Etc/UTC]","0.0","3.64"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:20:04.853936969Z[Etc/UTC]","0.0","1.44"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:20:06.400894955Z[Etc/UTC]","0.0","1.35"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:20:07.852169311Z[Etc/UTC]","0.0","1.36"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:20:09.39551815Z[Etc/UTC]","0.0","1.06"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:20:10.563874069Z[Etc/UTC]","0.0","1.03"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:20:11.743852463Z[Etc/UTC]","0.0","1.32"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T20:20:13.174428534Z[Etc/UTC]","0.0","1.05"
