"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T19:31:05.436458091Z[Etc/UTC]","0.0","0.85"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T19:31:06.36503621Z[Etc/UTC]","0.0","0.67"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:07.179984433Z[Etc/UTC]","0.0","1.21"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T19:31:08.491585403Z[Etc/UTC]","0.0","11.62"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T19:31:20.269356275Z[Etc/UTC]","0.0","1.28"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:21.653862073Z[Etc/UTC]","0.0","1.18"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T19:31:27.84895683Z[Etc/UTC]","0.0","1.14"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T19:31:29.093435408Z[Etc/UTC]","0.0","1.16"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T19:30:39.143952671Z[Etc/UTC]","0.0","1.76"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T19:30:41.0171184Z[Etc/UTC]","0.0","1.41"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T19:30:46.675542276Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T19:30:48.024748751Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T19:30:49.320455838Z[Etc/UTC]","0.0","1.14"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T19:30:50.563548441Z[Etc/UTC]","0.0","1.21"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T19:31:03.077880697Z[Etc/UTC]","0.0","0.88"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T19:31:04.034880466Z[Etc/UTC]","0.0","1.24"
