"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T22:43:39.583441122Z[Etc/UTC]","0.0","1.3"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T22:43:40.99434466Z[Etc/UTC]","0.0","1.19"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T22:43:46.432625074Z[Etc/UTC]","0.0","14.94"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T22:43:46.576011309Z[Etc/UTC]","0.0","1.3"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T22:43:47.981552631Z[Etc/UTC]","0.0","1.13"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T22:43:49.217741764Z[Etc/UTC]","0.0","1.09"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T22:43:50.410655385Z[Etc/UTC]","0.0","1.13"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T22:43:51.757080587Z[Etc/UTC]","0.0","1.24"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T22:43:53.1532814Z[Etc/UTC]","0.0","1.48"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T22:43:54.738400728Z[Etc/UTC]","0.0","1.35"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T22:43:56.191800938Z[Etc/UTC]","0.0","1.38"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T22:43:57.735723631Z[Etc/UTC]","0.0","1.08"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T22:43:58.919148303Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T22:44:00.141560167Z[Etc/UTC]","0.0","1.37"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T22:44:01.622683325Z[Etc/UTC]","0.0","0.94"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T22:43:36.511786834Z[Etc/UTC]","0.0","1.5"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T22:43:38.170122257Z[Etc/UTC]","0.0","1.23"
