"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T22:38:40.297598904Z[Etc/UTC]","0.0","1.21"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T22:38:54.062220503Z[Etc/UTC]","0.0","1.29"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T22:38:55.453637134Z[Etc/UTC]","0.0","1.18"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T22:38:56.793800991Z[Etc/UTC]","0.0","1.45"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T22:38:58.352126202Z[Etc/UTC]","0.0","1.46"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T22:38:59.914364317Z[Etc/UTC]","0.0","1.63"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T22:39:01.75186964Z[Etc/UTC]","0.0","1.09"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T22:39:02.94930232Z[Etc/UTC]","0.0","1.14"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T22:39:04.271764914Z[Etc/UTC]","0.0","2.31"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T22:39:06.854833487Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T22:39:08.019845448Z[Etc/UTC]","0.0","1.37"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T22:37:38.320121623Z[Etc/UTC]","0.0","8.13"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T22:37:46.667789537Z[Etc/UTC]","0.0","3.38"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T22:37:50.167318479Z[Etc/UTC]","0.0","1.22"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T22:37:51.507168699Z[Etc/UTC]","0.0","3.62"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T22:37:55.238594132Z[Etc/UTC]","0.0","1.41"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T22:37:56.765334582Z[Etc/UTC]","0.0","3.93"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T22:38:12.115259608Z[Etc/UTC]","0.0","1.61"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T22:38:13.837232802Z[Etc/UTC]","0.0","1.44"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T22:38:19.27752525Z[Etc/UTC]","0.0","13.89"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T22:38:19.431080998Z[Etc/UTC]","0.0","1.23"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T22:38:20.772216666Z[Etc/UTC]","0.0","1.18"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T22:38:22.061507673Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T22:38:23.354980886Z[Etc/UTC]","0.0","1.19"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T22:38:24.742571011Z[Etc/UTC]","0.0","1.32"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T22:38:26.205162522Z[Etc/UTC]","0.0","1.49"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T22:38:27.802203216Z[Etc/UTC]","0.0","1.41"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T22:38:29.316525582Z[Etc/UTC]","0.0","1.49"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T22:38:30.997173705Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T22:38:32.233812395Z[Etc/UTC]","0.0","1.13"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T22:38:33.512039538Z[Etc/UTC]","0.0","1.37"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T22:38:34.986588835Z[Etc/UTC]","0.0","1.05"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T22:38:08.621691729Z[Etc/UTC]","0.0","1.84"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T22:38:10.611743733Z[Etc/UTC]","0.0","1.32"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T22:38:37.173430929Z[Etc/UTC]","0.0","1.2"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-03-17T22:38:01.809664303Z[Etc/UTC]","0.0","1.31"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-03-17T22:38:03.226696819Z[Etc/UTC]","0.0","2.45"
