"Story","Title","Result","Date","Stability","Duration (s)"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T20:28:39.829169122Z[Etc/UTC]","0.0","1.49"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T20:28:41.425780075Z[Etc/UTC]","0.0","1.47"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T20:28:42.997924357Z[Etc/UTC]","0.0","1.6"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T20:28:44.801879048Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T20:28:46.036987507Z[Etc/UTC]","0.0","1.13"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T20:28:47.336100231Z[Etc/UTC]","0.0","2.41"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T20:28:50.024970312Z[Etc/UTC]","0.0","1.05"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T20:28:51.175484083Z[Etc/UTC]","0.0","1.34"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T20:27:20.553189758Z[Etc/UTC]","0.0","8.09"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T20:27:28.850305803Z[Etc/UTC]","0.0","3.59"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T20:27:32.556094303Z[Etc/UTC]","0.0","1.31"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T20:27:33.96896688Z[Etc/UTC]","0.0","3.38"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T20:27:37.460648935Z[Etc/UTC]","0.0","1.54"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T20:27:39.110031475Z[Etc/UTC]","0.0","4.3"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:28:09.335268374Z[Etc/UTC]","0.0","1.53"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:28:10.975708872Z[Etc/UTC]","0.0","1.46"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:28:12.555582894Z[Etc/UTC]","0.0","1.43"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:28:14.146387402Z[Etc/UTC]","0.0","1.16"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:28:15.407182163Z[Etc/UTC]","0.0","1.15"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:28:16.710693874Z[Etc/UTC]","0.0","1.4"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T20:28:18.219121205Z[Etc/UTC]","0.0","1.05"
