"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T22:44:04.956010166Z[Etc/UTC]","0.0","0.77"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T22:44:05.842368032Z[Etc/UTC]","0.0","0.62"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T22:44:06.602066802Z[Etc/UTC]","0.0","1.13"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T22:44:07.834384637Z[Etc/UTC]","0.0","11.21"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T22:44:19.214840471Z[Etc/UTC]","0.0","1.32"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T22:44:20.64828208Z[Etc/UTC]","0.0","1.18"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T22:44:26.662677548Z[Etc/UTC]","0.0","1.06"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T22:44:27.82420471Z[Etc/UTC]","0.0","1.04"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T22:43:39.583441122Z[Etc/UTC]","0.0","1.3"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T22:43:40.99434466Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T22:43:46.576011309Z[Etc/UTC]","0.0","1.3"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T22:43:47.981552631Z[Etc/UTC]","0.0","1.13"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T22:43:49.217741764Z[Etc/UTC]","0.0","1.09"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T22:43:50.410655385Z[Etc/UTC]","0.0","1.13"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T22:44:02.692374248Z[Etc/UTC]","0.0","0.81"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T22:44:03.602850058Z[Etc/UTC]","0.0","1.22"
