"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T22:42:06.197207481Z[Etc/UTC]","0.0","2.07"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T22:42:08.392710243Z[Etc/UTC]","0.0","1.23"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T22:42:13.795217439Z[Etc/UTC]","0.0","14.52"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T22:42:13.951813887Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T22:42:15.29944436Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T22:42:16.686414374Z[Etc/UTC]","0.0","1.11"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T22:42:17.894956497Z[Etc/UTC]","0.0","1.14"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T22:42:19.244515696Z[Etc/UTC]","0.0","1.28"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T22:42:20.667960964Z[Etc/UTC]","0.0","1.52"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T22:42:22.297655353Z[Etc/UTC]","0.0","1.44"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T22:42:23.84143025Z[Etc/UTC]","0.0","1.33"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T22:42:25.36065236Z[Etc/UTC]","0.0","1.06"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T22:42:26.526369998Z[Etc/UTC]","0.0","1.09"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T22:42:27.772027327Z[Etc/UTC]","0.0","1.37"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T22:42:29.241424129Z[Etc/UTC]","0.0","1.01"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T22:42:02.884667529Z[Etc/UTC]","0.0","1.78"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T22:42:04.800649315Z[Etc/UTC]","0.0","1.24"
