"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:31:32.40567209Z[Etc/UTC]","0.0","1.22"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T20:31:45.368927717Z[Etc/UTC]","0.0","1.23"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:31:46.700526652Z[Etc/UTC]","0.0","1.14"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T20:31:48.004349667Z[Etc/UTC]","0.0","1.44"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T20:31:49.55097818Z[Etc/UTC]","0.0","1.42"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T20:31:51.078845306Z[Etc/UTC]","0.0","1.55"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T20:31:52.846014346Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T20:31:54.080439018Z[Etc/UTC]","0.0","1.18"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T20:31:55.429189473Z[Etc/UTC]","0.0","2.3"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T20:31:58.019701221Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T20:31:59.184046681Z[Etc/UTC]","0.0","1.36"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T20:30:38.7546379Z[Etc/UTC]","0.0","3.46"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T20:30:42.337407034Z[Etc/UTC]","0.0","1.22"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T20:30:43.673308253Z[Etc/UTC]","0.0","3.41"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T20:30:47.198390267Z[Etc/UTC]","0.0","1.48"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T20:30:48.819698975Z[Etc/UTC]","0.0","4.27"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:31:04.46360296Z[Etc/UTC]","0.0","1.33"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:31:05.905610135Z[Etc/UTC]","0.0","1.31"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T20:31:11.327684026Z[Etc/UTC]","0.0","14.12"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T20:31:11.49385726Z[Etc/UTC]","0.0","1.29"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T20:31:12.888270847Z[Etc/UTC]","0.0","1.15"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T20:31:14.150569678Z[Etc/UTC]","0.0","1.25"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T20:31:15.504351794Z[Etc/UTC]","0.0","1.17"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:31:16.901784603Z[Etc/UTC]","0.0","1.31"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:31:18.349290094Z[Etc/UTC]","0.0","1.53"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:31:19.985586519Z[Etc/UTC]","0.0","1.36"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:31:21.461928756Z[Etc/UTC]","0.0","1.45"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:31:23.108448502Z[Etc/UTC]","0.0","1.1"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:31:24.318600595Z[Etc/UTC]","0.0","1.14"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:31:25.60592829Z[Etc/UTC]","0.0","1.39"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T20:31:27.096660072Z[Etc/UTC]","0.0","1.01"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T20:31:01.177245342Z[Etc/UTC]","0.0","1.68"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T20:31:02.971425828Z[Etc/UTC]","0.0","1.31"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T20:31:29.21521266Z[Etc/UTC]","0.0","1.32"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-03-17T20:30:54.19271305Z[Etc/UTC]","0.0","1.29"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-03-17T20:30:55.592887114Z[Etc/UTC]","0.0","2.49"
