"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:29:16.788674546Z[Etc/UTC]","0.0","1.34"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:29:18.232479691Z[Etc/UTC]","0.0","1.22"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T20:29:23.495093863Z[Etc/UTC]","0.0","13.8"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T20:29:23.607778321Z[Etc/UTC]","0.0","1.23"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T20:29:24.942184888Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T20:29:26.242174008Z[Etc/UTC]","0.0","1.06"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T20:29:27.40541996Z[Etc/UTC]","0.0","1.11"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:29:28.719804967Z[Etc/UTC]","0.0","1.29"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:29:30.142256273Z[Etc/UTC]","0.0","1.43"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:29:31.672868553Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:29:33.121148423Z[Etc/UTC]","0.0","1.31"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:29:34.605966448Z[Etc/UTC]","0.0","1.03"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:29:35.738414699Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:29:36.94813381Z[Etc/UTC]","0.0","1.26"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T20:29:13.637823228Z[Etc/UTC]","0.0","1.6"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T20:29:15.401584844Z[Etc/UTC]","0.0","1.22"
