"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:29:43.42043946Z[Etc/UTC]","0.0","1.12"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T20:29:56.367848323Z[Etc/UTC]","0.0","1.25"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:29:57.723980052Z[Etc/UTC]","0.0","1.19"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T20:29:59.084607962Z[Etc/UTC]","0.0","1.35"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T20:30:00.541918758Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T20:30:01.990960445Z[Etc/UTC]","0.0","1.52"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T20:30:03.722481616Z[Etc/UTC]","0.0","1.08"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T20:30:04.903223092Z[Etc/UTC]","0.0","1.07"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T20:30:06.133231383Z[Etc/UTC]","0.0","2.2"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T20:30:09.665711062Z[Etc/UTC]","0.0","1.27"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T20:28:44.123530896Z[Etc/UTC]","0.0","8.06"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T20:28:52.426652087Z[Etc/UTC]","0.0","3.34"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T20:28:55.882954679Z[Etc/UTC]","0.0","1.21"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T20:28:57.212370831Z[Etc/UTC]","0.0","3.32"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T20:29:00.646861621Z[Etc/UTC]","0.0","1.39"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T20:29:02.158438208Z[Etc/UTC]","0.0","3.92"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:29:16.788674546Z[Etc/UTC]","0.0","1.34"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:29:18.232479691Z[Etc/UTC]","0.0","1.22"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T20:29:23.495093863Z[Etc/UTC]","0.0","13.8"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T20:29:23.607778321Z[Etc/UTC]","0.0","1.23"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T20:29:24.942184888Z[Etc/UTC]","0.0","1.19"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T20:29:26.242174008Z[Etc/UTC]","0.0","1.06"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T20:29:27.40541996Z[Etc/UTC]","0.0","1.11"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:29:28.719804967Z[Etc/UTC]","0.0","1.29"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:29:30.142256273Z[Etc/UTC]","0.0","1.43"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:29:31.672868553Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:29:33.121148423Z[Etc/UTC]","0.0","1.31"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:29:34.605966448Z[Etc/UTC]","0.0","1.03"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:29:35.738414699Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:29:36.94813381Z[Etc/UTC]","0.0","1.26"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T20:29:13.637823228Z[Etc/UTC]","0.0","1.6"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T20:29:15.401584844Z[Etc/UTC]","0.0","1.22"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T20:29:40.306681302Z[Etc/UTC]","0.0","1.21"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-03-17T20:29:07.147841685Z[Etc/UTC]","0.0","1.2"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-03-17T20:29:08.459017046Z[Etc/UTC]","0.0","2.32"
