"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T19:25:52.229075606Z[Etc/UTC]","0.0","1.17"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:25:54.376060492Z[Etc/UTC]","0.0","1.31"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T19:26:07.322601534Z[Etc/UTC]","0.0","1.42"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:26:08.846561765Z[Etc/UTC]","0.0","1.33"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T19:26:15.704313865Z[Etc/UTC]","0.0","1.19"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T19:26:17.009504026Z[Etc/UTC]","0.0","1.22"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T19:25:23.81921088Z[Etc/UTC]","0.0","1.45"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T19:25:25.373286909Z[Etc/UTC]","0.0","1.42"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T19:25:31.757282043Z[Etc/UTC]","0.0","1.37"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T19:25:33.233923689Z[Etc/UTC]","0.0","1.32"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T19:25:34.662349433Z[Etc/UTC]","0.0","1.23"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T19:25:35.996015956Z[Etc/UTC]","0.0","1.26"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T19:25:50.638474269Z[Etc/UTC]","0.0","1.43"
