"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T20:28:21.933851387Z[Etc/UTC]","0.0","0.88"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T20:28:22.928342022Z[Etc/UTC]","0.0","0.72"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:28:23.791242135Z[Etc/UTC]","0.0","1.26"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T20:28:25.153730478Z[Etc/UTC]","0.0","11.66"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T20:28:36.975097889Z[Etc/UTC]","0.0","1.31"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:28:38.39152643Z[Etc/UTC]","0.0","1.26"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T20:28:39.829169122Z[Etc/UTC]","0.0","1.49"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T20:28:41.425780075Z[Etc/UTC]","0.0","1.47"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T20:28:42.997924357Z[Etc/UTC]","0.0","1.6"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T20:28:44.801879048Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T20:28:46.036987507Z[Etc/UTC]","0.0","1.13"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T20:28:47.336100231Z[Etc/UTC]","0.0","2.41"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T20:28:50.024970312Z[Etc/UTC]","0.0","1.05"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T20:28:51.175484083Z[Etc/UTC]","0.0","1.34"
"Completing todos","Mark a task as completed","SUCCESS","2022-03-17T20:27:20.553189758Z[Etc/UTC]","0.0","8.09"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-03-17T20:27:28.850305803Z[Etc/UTC]","0.0","3.59"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T20:27:32.556094303Z[Etc/UTC]","0.0","1.31"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T20:27:33.96896688Z[Etc/UTC]","0.0","3.38"
"Filtering todos","View only the completed items","SUCCESS","2022-03-17T20:27:37.460648935Z[Etc/UTC]","0.0","1.54"
"Filtering todos","Viewing the items by status","SUCCESS","2022-03-17T20:27:39.110031475Z[Etc/UTC]","0.0","4.3"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:27:55.212056061Z[Etc/UTC]","0.0","1.54"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:27:56.840274367Z[Etc/UTC]","0.0","1.49"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-03-17T20:28:02.461390825Z[Etc/UTC]","0.0","14.17"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T20:28:02.57911926Z[Etc/UTC]","0.0","1.3"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T20:28:03.949001637Z[Etc/UTC]","0.0","1.22"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T20:28:05.267568506Z[Etc/UTC]","0.0","1.14"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T20:28:06.509421056Z[Etc/UTC]","0.0","1.2"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:28:07.911313078Z[Etc/UTC]","0.0","1.29"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-03-17T20:28:09.335268374Z[Etc/UTC]","0.0","1.53"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-03-17T20:28:10.975708872Z[Etc/UTC]","0.0","1.46"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-03-17T20:28:12.555582894Z[Etc/UTC]","0.0","1.43"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T20:28:14.146387402Z[Etc/UTC]","0.0","1.16"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T20:28:15.407182163Z[Etc/UTC]","0.0","1.15"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-03-17T20:28:16.710693874Z[Etc/UTC]","0.0","1.4"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-03-17T20:28:18.219121205Z[Etc/UTC]","0.0","1.05"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-03-17T20:27:51.746312288Z[Etc/UTC]","0.0","1.8"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-03-17T20:27:53.720204803Z[Etc/UTC]","0.0","1.29"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T20:28:19.417239982Z[Etc/UTC]","0.0","0.9"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T20:28:20.428116377Z[Etc/UTC]","0.0","1.34"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2022-03-17T20:27:43.512508406Z[Etc/UTC]","0.0","0.93"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-03-17T20:27:44.550243022Z[Etc/UTC]","0.0","1.34"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-03-17T20:27:46.007129358Z[Etc/UTC]","0.0","2.68"
